                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.164,                 7.7182,                0.69612,                      0,                      0,                      0,                      0,                0.22461,                0.22873,                0.11665,               0.070216,              0.0033094,              0.0033094
                      2,                 2.4126,                 2.7333,                 1.2115,                      0,                      0,                      0,                      0,                 5.1351,                 5.7636,                 2.1774,               0.040194,              0.0066208,              0.0066208
                      3,                 4.4872,                 6.0485,                 2.0932,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.01015,              0.0099102,              0.0099102
                      4,                 4.2662,                  5.943,                  1.849,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009901,               0.009901,               0.009901
                      5,                 4.2603,                 5.5641,                 1.7102,                      0,                      0,                      0,                      0,                  4.013,                 5.2194,                 1.5696,               0.009901,               0.009901,               0.009901
                      6,                 4.2683,                 5.2021,                 1.6598,                      0,                      0,                      0,                      0,                 4.5353,                 5.3881,                 1.6604,               0.009868,               0.009868,               0.009868
                      7,                 4.1593,                 5.0142,                 1.5893,                      0,                      0,                      0,                      0,                 3.8707,                 4.4052,                 1.4953,               0.009835,               0.009835,               0.009835
                      8,                 4.1701,                 4.9982,                 1.5691,                      0,                      0,                      0,                      0,                 3.9391,                 4.6822,                 1.5135,               0.009802,               0.009802,               0.009802
                      9,                 4.0563,                 4.9619,                 1.5826,                      0,                      0,                      0,                      0,                 3.9039,                 4.4167,                 1.5085,               0.009769,               0.009769,               0.009769
                     10,                 4.0069,                 4.9755,                 1.5506,                      0,                      0,                      0,                      0,                 3.8533,                 4.4855,                 1.4612,               0.009736,               0.009736,               0.009736
                     11,                 3.8939,                 4.8839,                 1.4916,                      0,                      0,                      0,                      0,                 3.6303,                 4.3468,                 1.4036,               0.009703,               0.009703,               0.009703
                     12,                 3.8349,                 4.7917,                 1.4584,                0.00075,                0.01561,                0.00059,                0.00016,                 3.5385,                 4.3034,                 1.3915,                0.00967,                0.00967,                0.00967
                     13,                 3.8326,                 4.7511,                 1.4366,                0.00122,                0.07008,                0.00197,                0.00049,                 3.4835,                 4.2039,                 1.3621,               0.009637,               0.009637,               0.009637
                     14,                 3.7524,                  4.654,                   1.41,                0.00319,                0.16029,                0.00319,                 0.0009,                   3.33,                 4.1528,                 1.3294,               0.009604,               0.009604,               0.009604
                     15,                 3.6617,                 4.5047,                 1.3864,                0.00711,                0.23793,                0.01279,                 0.0033,                 3.3182,                 4.0358,                 1.3279,               0.009571,               0.009571,               0.009571
                     16,                   3.57,                 4.3575,                 1.3809,                0.00703,                0.32383,                0.02463,                 0.0067,                  3.338,                 3.8621,                 1.3421,               0.009538,               0.009538,               0.009538
                     17,                 3.5469,                 4.2795,                  1.357,                0.56527,                0.03059,                0.05618,                0.01371,                 3.2074,                 3.7898,                 1.2832,               0.009505,               0.009505,               0.009505
                     18,                 3.4672,                 4.0808,                  1.331,                0.97836,                0.04505,                0.08842,                0.02622,                 3.1884,                 3.6454,                 1.2715,               0.009472,               0.009472,               0.009472
                     19,                 3.3314,                 3.8848,                 1.2972,                0.70552,                0.09226,                0.13506,                0.03731,                 3.2555,                 3.5362,                 1.2859,               0.009439,               0.009439,               0.009439
                     20,                  3.315,                 3.6641,                  1.306,                 0.2853,                0.14417,                0.15552,                0.05219,                 3.0259,                 3.2462,                   1.25,               0.009406,               0.009406,               0.009406
                     21,                 3.2712,                 3.5129,                 1.2848,                0.34617,                0.18298,                0.20547,                0.07373,                 2.9642,                 3.0811,                 1.2231,               0.009373,               0.009373,               0.009373
                     22,                 3.1656,                 3.3884,                 1.2621,                0.40139,                0.25396,                0.24217,                0.08554,                 2.9336,                 2.9054,                 1.2189,                0.00934,                0.00934,                0.00934
                     23,                 3.1422,                 3.2594,                 1.2447,                0.39962,                0.28113,                0.27839,                0.09819,                  2.875,                 2.7693,                 1.1996,               0.009307,               0.009307,               0.009307
                     24,                  3.085,                 3.1363,                  1.223,                0.33241,                0.26687,                0.25624,                0.09667,                 2.8289,                 2.8524,                 1.1866,               0.009274,               0.009274,               0.009274
                     25,                 3.1106,                 3.0947,                 1.2327,                0.38066,                0.30814,                0.26939,                0.09445,                 2.8346,                 2.6853,                 1.1737,               0.009241,               0.009241,               0.009241
                     26,                 2.9887,                 2.9361,                 1.1902,                 0.4127,                0.34396,                0.31243,                0.11854,                   2.71,                 2.5621,                 1.1556,               0.009208,               0.009208,               0.009208
                     27,                 2.9797,                 2.9186,                 1.2141,                0.41447,                0.25757,                0.29021,                0.11437,                 2.7214,                 2.6208,                 1.1671,               0.009175,               0.009175,               0.009175
                     28,                 2.9488,                 2.8871,                 1.1844,                0.56378,                 0.2303,                 0.2955,                0.12556,                 2.6662,                  2.576,                 1.1454,               0.009142,               0.009142,               0.009142
                     29,                 2.8597,                 2.7318,                 1.1745,                0.40515,                0.36571,                0.32749,                0.13241,                 2.6252,                 2.4682,                 1.1395,               0.009109,               0.009109,               0.009109
                     30,                 2.8561,                 2.6595,                 1.1725,                0.34491,                0.37633,                0.32422,                0.13208,                 2.6381,                 2.5581,                 1.1393,               0.009076,               0.009076,               0.009076
                     31,                 2.8285,                 2.6012,                 1.1721,                0.36841,                0.39236,                0.33445,                0.12116,                 2.7179,                 2.3263,                 1.1404,               0.009043,               0.009043,               0.009043
                     32,                 2.8354,                 2.5607,                 1.1449,                0.49561,                0.45148,                0.40134,                0.17174,                 2.4261,                 2.1536,                 1.0965,                0.00901,                0.00901,                0.00901
                     33,                  2.734,                 2.4882,                 1.1351,                0.38181,                0.41838,                0.37825,                0.15111,                 2.4972,                 2.3504,                 1.0967,               0.008977,               0.008977,               0.008977
                     34,                 2.7389,                  2.471,                 1.1419,                0.48254,                0.38429,                0.41261,                0.17039,                 2.4216,                 2.1161,                 1.0964,               0.008944,               0.008944,               0.008944
                     35,                 2.6195,                 2.3161,                 1.1229,                0.35074,                0.45924,                0.40024,                0.15042,                 2.4829,                 2.2334,                 1.0927,               0.008911,               0.008911,               0.008911
                     36,                 2.6325,                 2.3295,                 1.1096,                0.37722,                0.47047,                0.41984,                0.18343,                 2.4049,                 2.3724,                 1.0754,               0.008878,               0.008878,               0.008878
                     37,                 2.5647,                 2.1973,                 1.1034,                0.51429,                0.53099,                0.46988,                 0.1864,                 2.3849,                 1.9422,                 1.0626,               0.008845,               0.008845,               0.008845
                     38,                 2.5903,                 2.2091,                 1.1184,                0.46905,                0.52959,                 0.4665,                 0.1917,                 2.3491,                 1.9729,                 1.0658,               0.008812,               0.008812,               0.008812
                     39,                 2.5511,                 2.1679,                 1.0889,                0.53616,                 0.5549,                0.51606,                0.21932,                 2.2722,                 1.8651,                 1.0444,               0.008779,               0.008779,               0.008779
                     40,                 2.4998,                 2.0969,                  1.081,                 0.5124,                0.53896,                0.50762,                0.22183,                 2.2707,                 1.8943,                 1.0459,               0.008746,               0.008746,               0.008746
                     41,                  2.496,                 2.0374,                 1.0908,                0.54922,                0.55221,                0.51165,                0.21286,                 2.2382,                 1.7917,                 1.0497,               0.008713,               0.008713,               0.008713
                     42,                 2.4193,                 1.9648,                 1.0697,                0.54831,                0.54842,                0.54059,                0.24336,                 2.1847,                 1.7027,                 1.0371,                0.00868,                0.00868,                0.00868
                     43,                 2.4143,                 1.9734,                 1.0664,                 0.6139,                0.55886,                 0.5823,                0.26328,                 2.1708,                 1.6561,                 1.0258,               0.008647,               0.008647,               0.008647
                     44,                 2.3732,                 1.9431,                  1.049,                0.61527,                0.62624,                0.60397,                0.26246,                 2.1908,                 1.6107,                 1.0269,               0.008614,               0.008614,               0.008614
                     45,                 2.3852,                 1.8478,                 1.0646,                 0.7284,                0.58197,                0.60519,                0.27235,                 2.1301,                 1.5757,                 1.0074,               0.008581,               0.008581,               0.008581
                     46,                 2.3351,                 1.7938,                 1.0647,                 0.6569,                0.65093,                0.64465,                0.27909,                 2.1242,                 1.5205,                 1.0074,               0.008548,               0.008548,               0.008548
                     47,                 2.3074,                 1.7622,                 1.0414,                0.68492,                0.60004,                0.64727,                0.29826,                  2.081,                 1.4896,                0.99927,               0.008515,               0.008515,               0.008515
                     48,                 2.2828,                 1.7281,                 1.0406,                0.76106,                0.62988,                0.67005,                0.30907,                  2.049,                 1.4207,                 0.9993,               0.008482,               0.008482,               0.008482
                     49,                 2.3388,                 1.7898,                 1.0514,                0.79714,                0.62944,                0.70678,                0.33166,                 2.0149,                 1.4169,                0.99116,               0.008449,               0.008449,               0.008449
                     50,                 2.2309,                 1.6654,                 1.0288,                0.76506,                0.64691,                0.70978,                0.33876,                 1.9887,                 1.4001,                0.99393,               0.008416,               0.008416,               0.008416
                     51,                 2.2383,                  1.653,                 1.0347,                0.81347,                0.66305,                0.72687,                0.34537,                 1.9928,                  1.366,                0.98495,               0.008383,               0.008383,               0.008383
                     52,                 2.1837,                 1.5484,                 1.0252,                0.81072,                0.67092,                0.73961,                0.35266,                 2.0065,                 1.3049,                0.99547,                0.00835,                0.00835,                0.00835
                     53,                 2.1665,                 1.5498,                 1.0157,                0.86916,                0.66731,                0.75145,                0.35196,                 2.0373,                 1.3456,                0.99699,               0.008317,               0.008317,               0.008317
                     54,                 2.1986,                 1.5509,                 1.0218,                0.87159,                0.68499,                0.76507,                0.35681,                 2.0372,                 1.3114,                0.98102,               0.008284,               0.008284,               0.008284
                     55,                  2.223,                 1.5873,                 1.0303,                0.86627,                0.65602,                0.73843,                0.33742,                 2.0584,                 1.3225,                 1.0008,               0.008251,               0.008251,               0.008251
                     56,                 2.1463,                 1.5091,                 1.0177,                0.81717,                0.66157,                0.77374,                0.36572,                 1.9693,                 1.2646,                0.97783,               0.008218,               0.008218,               0.008218
                     57,                 2.0957,                 1.4444,                 1.0055,                0.87086,                0.72208,                0.78144,                0.38057,                 1.9327,                 1.2546,                 0.9691,               0.008185,               0.008185,               0.008185
